subject,file,task,n_volumes,onset,duration,trial_type,stim_file
sub-304,sub-304_task-forgot_bold.nii.gz,forgot,574,12,837,story,forgot_audio.wav
sub-304,sub-304_task-black_bold.nii.gz,black,550,12,800,story,black_audio.wav
sub-304,sub-304_task-piemanpni_bold.nii.gz,piemanpni,294,12,400,story,piemanpni_audio.wav
sub-305,sub-305_task-forgot_bold.nii.gz,forgot,574,12,837,story,forgot_audio.wav
sub-305,sub-305_task-piemanpni_bold.nii.gz,piemanpni,294,12,400,story,piemanpni_audio.wav
sub-305,sub-305_task-black_bold.nii.gz,black,550,12,800,story,black_audio.wav
sub-305,sub-305_task-bronx_bold.nii.gz,bronx,390,12,536,story,bronx_audio.wav
sub-306,sub-306_task-forgot_bold.nii.gz,forgot,574,12,837,story,forgot_audio.wav
sub-306,sub-306_task-piemanpni_bold.nii.gz,piemanpni,294,12,400,story,piemanpni_audio.wav
sub-306,sub-306_task-bronx_bold.nii.gz,bronx,390,12,536,story,bronx_audio.wav
sub-306,sub-306_task-black_bold.nii.gz,black,550,12,800,story,black_audio.wav
sub-307,sub-307_task-piemanpni_bold.nii.gz,piemanpni,294,12,400,story,piemanpni_audio.wav
sub-307,sub-307_task-forgot_bold.nii.gz,forgot,574,12,837,story,forgot_audio.wav
sub-307,sub-307_task-bronx_bold.nii.gz,bronx,390,12,536,story,bronx_audio.wav
sub-307,sub-307_task-black_bold.nii.gz,black,550,12,800,story,black_audio.wav
sub-308,sub-308_task-forgot_bold.nii.gz,forgot,574,12,837,story,forgot_audio.wav
sub-308,sub-308_task-black_bold.nii.gz,black,550,12,800,story,black_audio.wav
sub-308,sub-308_task-piemanpni_bold.nii.gz,piemanpni,294,12,400,story,piemanpni_audio.wav
sub-308,sub-308_task-bronx_bold.nii.gz,bronx,390,12,536,story,bronx_audio.wav
sub-309,sub-309_task-black_bold.nii.gz,black,550,12,800,story,black_audio.wav
sub-309,sub-309_task-piemanpni_bold.nii.gz,piemanpni,294,12,400,story,piemanpni_audio.wav
sub-309,sub-309_task-forgot_bold.nii.gz,forgot,574,12,837,story,forgot_audio.wav
sub-309,sub-309_task-bronx_bold.nii.gz,bronx,390,12,536,story,bronx_audio.wav
sub-310,sub-310_task-forgot_bold.nii.gz,forgot,574,12,837,story,forgot_audio.wav
sub-310,sub-310_task-bronx_bold.nii.gz,bronx,390,12,536,story,bronx_audio.wav
sub-310,sub-310_task-black_bold.nii.gz,black,550,12,800,story,black_audio.wav
sub-310,sub-310_task-piemanpni_bold.nii.gz,piemanpni,294,12,400,story,piemanpni_audio.wav
sub-311,sub-311_task-forgot_bold.nii.gz,forgot,574,12,837,story,forgot_audio.wav
sub-311,sub-311_task-black_bold.nii.gz,black,550,12,800,story,black_audio.wav
sub-311,sub-311_task-piemanpni_bold.nii.gz,piemanpni,294,12,400,story,piemanpni_audio.wav
sub-311,sub-311_task-bronx_bold.nii.gz,bronx,390,12,536,story,bronx_audio.wav
sub-312,sub-312_task-piemanpni_bold.nii.gz,piemanpni,294,12,400,story,piemanpni_audio.wav
sub-312,sub-312_task-black_bold.nii.gz,black,550,12,800,story,black_audio.wav
sub-312,sub-312_task-bronx_bold.nii.gz,bronx,390,12,536,story,bronx_audio.wav
sub-312,sub-312_task-forgot_bold.nii.gz,forgot,574,12,837,story,forgot_audio.wav
sub-313,sub-313_task-forgot_bold.nii.gz,forgot,574,12,837,story,forgot_audio.wav
